    PID    PPID                  STARTED     ELAPSED S %CPU %MEM COMMAND
    300       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/48]
    302       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/48:0H-kblockd]
    303       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/49]
    304       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/49]
    305       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/49]
    306       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/49]
    308       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/49:0H-kblockd]
    309       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/50]
    310       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/50]
    311       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/50]
    312       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/50]
    314       2 Sun Jul 12 11:14:54 2026 31-07:44:37 I  0.0  0.0 [kworker/50:0H-kblockd]
    315       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [cpuhp/51]
    316       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [idle_inject/51]
    317       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [migration/51]
    318       2 Sun Jul 12 11:14:54 2026 31-07:44:37 S  0.0  0.0 [ksoftirqd/51]
